Detector,E_log,LogCounts,y_calibrated,ydy
# Detector n:            1   Engy_SV,1.4125375446227555e-05,3.333e-06,275.57877264174357,3.2939140771130067e-09
# Detector n:            1   Engy_SV,1.4677992676220705e-05,3.333e-06,286.36004911555676,3.5566866073082232e-09
# Detector n:            1   Engy_SV,1.52522295653902e-05,2.9724565782150058e-08,297.5631139633096,3.424988664019527e-11
# Detector n:            1   Engy_SV,1.584893192461114e-05,0.0,309.20446851792116,0.0
# Detector n:            1   Engy_SV,1.646897865482869e-05,0.0,321.30125968247125,0.0
# Detector n:            1   Engy_SV,1.7113283041617813e-05,1.5102895108486893e-06,333.8713051863915,2.190805514580846e-09
# Detector n:            1   Engy_SV,1.778279410038923e-05,0.0,346.9331198297379,0.0
# Detector n:            1   Engy_SV,1.8478497974222908e-05,0.0,360.5059427542,0.0
# Detector n:            1   Engy_SV,1.9201419386388012e-05,2.6853232593249656e-06,374.60976578101383,4.90388404876282e-09
# Detector n:            1   Engy_SV,1.995262314968879e-05,2.701371831650928e-06,389.26536285752024,5.326737796399902e-09
# Detector n:            1   Engy_SV,2.073321573485954e-05,3.109232177147414e-06,404.4943206557395,6.620083075821912e-09
# Detector n:            1   Engy_SV,2.1544346900318823e-05,3.333e-06,420.3190703680336,7.662649008356625e-09
# Detector n:            1   Engy_SV,2.238721138568338e-05,0.0,436.7629207466876,0.0
# Detector n:            1   Engy_SV,2.326305067153624e-05,0.0,453.8500924360754,0.0
# Detector n:            1   Engy_SV,2.417315480804106e-05,3.333e-06,471.60575364797995,9.64670355827956e-09
# Detector n:            1   Engy_SV,2.5118864315095825e-05,1.748300951142469e-06,490.0560572326102,5.463779274773993e-09
# Detector n:            1   Engy_SV,2.610157215682539e-05,0.0,509.22817919992934,0.0
# Detector n:            1   Engy_SV,2.7122725793320296e-05,0.0,529.1503587480189,0.0
# Detector n:            1   Engy_SV,2.8183829312644552e-05,0.0,549.8519398574476,0.0
# Detector n:            1   Engy_SV,2.9286445646252377e-05,0.0,571.3634145129078,0.0
# Detector n:            1   Engy_SV,3.0432198871077222e-05,0.0,593.7164676157813,0.0
# Detector n:            1   Engy_SV,3.1622776601683795e-05,0.0,616.9440236537893,0.0
# Detector n:            1   Engy_SV,3.2859932476006544e-05,1.8673802298807932e-06,641.0802951964645,9.98718379972265e-09
# Detector n:            1   Engy_SV,3.414548873833601e-05,0.0,666.1608332878803,0.0
# Detector n:            1   Engy_SV,3.5481338923357534e-05,0.0,692.2225798108583,0.0
# Detector n:            1   Engy_SV,3.6869450645195736e-05,0.0,719.3039218997832,0.0
# Detector n:            1   Engy_SV,3.8311868495572856e-05,0.0,747.4447484821752,0.0
# Detector n:            1   Engy_SV,3.9810717055349695e-05,0.0,776.6865090322964,0.0
# Detector n:            1   Engy_SV,4.1368204023885034e-05,0.0,807.0722746233348,0.0
# Detector n:            1   Engy_SV,4.298662347082281e-05,0.0,838.6468013680915,0.0
# Detector n:            1   Engy_SV,4.466835921509635e-05,0.0,871.4565963416065,0.0
# Detector n:            1   Engy_SV,4.6415888336127825e-05,0.0,905.5499860828453,0.0
